Colony,NN_Level,Mean_Distance,SD_Distance,N,SE_Distance,Plot_Error
1,1,1.2107117192091295,0.3103837144278895,620,0.012465309940251712,0.3103837144278895
1,2,1.4769552961064514,0.21568602452320687,620,0.008662159193558906,0.3103837144278895
1,3,1.6699267314053339,0.23299840823909115,620,0.009357441255057664,0.3103837144278895
1,4,1.878047144044714,0.3082755482261246,620,0.012380643948161884,0.3103837144278895
1,5,2.0969063213418027,0.36512335958577535,620,0.014663706992655613,0.3103837144278895
1,6,2.33793461950377,0.4060199645328302,620,0.016306154171653812,0.3103837144278895
1,7,2.561670630051953,0.4111041723246061,620,0.016510340870179368,0.3103837144278895
1,8,2.7604569192526496,0.4126497800629105,620,0.016572413970694734,0.3103837144278895
2,1,1.351144450389799,0.2821898588834657,296,0.01640195238632723,0.3103837144278895
2,2,1.6204317946481632,0.24869007101069465,296,0.014454816767012999,0.3103837144278895
2,3,1.869814915915562,0.28830246666441756,296,0.016757240496878607,0.3103837144278895
2,4,2.1616346489218765,0.390458719892462,296,0.022694952107216525,0.3103837144278895
2,5,2.457139553429931,0.4572921770855769,296,0.02657956790110939,0.3103837144278895
2,6,2.7819843907143427,0.4964753648246415,296,0.028857044427670404,0.3103837144278895
2,7,3.0530336387528574,0.5190678810348844,296,0.030170207759031505,0.3103837144278895
2,8,3.327003037042092,0.5474515142334848,296,0.03181997292818549,0.3103837144278895
3,1,1.3838495562839566,0.30714496714210826,421,0.014969329756234741,0.3103837144278895
3,2,1.6695084843452068,0.2337397055415762,421,0.011391776208913747,0.3103837144278895
3,3,1.8968933522040308,0.2557331947525109,421,0.012463673285893513,0.3103837144278895
3,4,2.1477654442586003,0.32558886032296047,421,0.01586823010801946,0.3103837144278895
3,5,2.4256548769548183,0.38924176390202925,421,0.018970482808048365,0.3103837144278895
3,6,2.6882188850138844,0.40745626210997243,421,0.019858203132936174,0.3103837144278895
3,7,2.958728459078428,0.39423848438819387,421,0.019214008063738214,0.3103837144278895
3,8,3.211148924646574,0.4212281176541913,421,0.020529402302874908,0.3103837144278895
4,1,1.413076908806241,0.3572425482539955,395,0.017974823340834205,0.3103837144278895
4,2,1.7209028648029143,0.3434295433667389,395,0.017279815638453842,0.3103837144278895
4,3,2.005639020575962,0.36702445496748204,395,0.018467004482108647,0.3103837144278895
4,4,2.3086885408056723,0.42365216199935385,395,0.02131625364089226,0.3103837144278895
4,5,2.6014843882179397,0.49410218735975037,395,0.024860979112142884,0.3103837144278895
4,6,2.8816148936923387,0.5201312794616697,395,0.02617064486875834,0.3103837144278895
4,7,3.1719602195906598,0.550132706911829,395,0.02768018050785039,0.3103837144278895
4,8,3.4414545939524586,0.582270694434832,395,0.029297218150984638,0.3103837144278895
6,1,1.3639718683744093,0.3501342430521094,300,0.02021500994786412,0.3103837144278895
6,2,1.7244105968928058,0.2952813469348684,300,0.017048076513952154,0.3103837144278895
6,3,2.005043412150577,0.33252050600806327,300,0.019198080365482588,0.3103837144278895
6,4,2.3003408218183665,0.4043717504053641,300,0.02334641389492171,0.3103837144278895
6,5,2.6230810865093512,0.5146417887421513,300,0.029712857526651152,0.3103837144278895
6,6,2.950846983300327,0.6399120398349876,300,0.03694533884564126,0.3103837144278895
6,7,3.254355565150271,0.6964198439097405,300,0.04020781843502858,0.3103837144278895
6,8,3.512246157154649,0.7161608274487652,300,0.041347564651060965,0.3103837144278895
7,1,1.1929436641916882,0.28045721137198903,343,0.015143266013978753,0.3103837144278895
7,2,1.4336424841996422,0.2690983259146143,343,0.014529943848854638,0.3103837144278895
7,3,1.6726794800033178,0.36377819781968396,343,0.019642176404451893,0.3103837144278895
7,4,1.9195802774636745,0.4522455196812369,343,0.02441896278815754,0.3103837144278895
7,5,2.1679710117162445,0.5010383212024496,343,0.027053526432958826,0.3103837144278895
7,6,2.420796683170829,0.5316030915612313,343,0.028703868907430964,0.3103837144278895
7,7,2.659131272964575,0.5520069194818534,343,0.029805572059915093,0.3103837144278895
7,8,2.8886220551266675,0.5871386797306334,343,0.03170250880967461,0.3103837144278895
8,1,1.1418161662632427,0.2609796746463646,383,0.013335438423973483,0.3103837144278895
8,2,1.3879042396573054,0.22746543231164076,383,0.011622940638134661,0.3103837144278895
8,3,1.612288131531481,0.26351344255299497,383,0.013464907915976237,0.3103837144278895
8,4,1.8555606164315612,0.3215771647309599,383,0.016431825522951422,0.3103837144278895
8,5,2.0993959282292436,0.3690768873392963,383,0.01885894796786062,0.3103837144278895
8,6,2.3513471240021255,0.38797650029182923,383,0.01982467307694028,0.3103837144278895
8,7,2.5893897643592596,0.4095478305130905,383,0.02092691656114502,0.3103837144278895
8,8,2.7955404027991557,0.409720976742069,383,0.020935763920151097,0.3103837144278895
9,1,1.1400011926197287,0.21454093708722013,249,0.013595979456241775,0.3103837144278895
9,2,1.3926295152112091,0.22276303436657058,249,0.014117033699851346,0.3103837144278895
9,3,1.651518842671889,0.28532680769715413,249,0.018081851736242084,0.3103837144278895
9,4,1.9265599013237027,0.36047872872626274,249,0.022844411219206745,0.3103837144278895
9,5,2.196497295106813,0.37010341573218347,249,0.023454350975142726,0.3103837144278895
9,6,2.4377367325372035,0.40070590365628533,249,0.02539370484753131,0.3103837144278895
9,7,2.6832443631323644,0.46380994668867603,249,0.029392761085107928,0.3103837144278895
9,8,2.9294695389973695,0.5189451184839491,249,0.032886810627457706,0.3103837144278895
10,1,1.2096643806612577,0.27565913922634094,552,0.011732832126487893,0.3103837144278895
10,2,1.4379487041378944,0.2502389204638911,552,0.01065087576474532,0.3103837144278895
10,3,1.6160882102858916,0.26718373381744437,552,0.011372094916230332,0.3103837144278895
10,4,1.8299962647987964,0.32343046961918753,552,0.013766114975485121,0.3103837144278895
10,5,2.055901910960917,0.3580470248919916,552,0.015239493412902403,0.3103837144278895
10,6,2.292006826152626,0.39563128387328494,552,0.01683918570848011,0.3103837144278895
10,7,2.5218132834199203,0.3989303687779903,552,0.016979604087013014,0.3103837144278895
10,8,2.7212967914543307,0.38964007055911243,552,0.016584182735437204,0.3103837144278895
