Colony,NN_level,mean_distance,sd_distance,n,se_distance
SC1,1,1.2107117192091295,0.31038371442788953,620,0.012465309940251714
SC1,2,1.4769552961064514,0.215686024523207,620,0.008662159193558913
SC1,3,1.6699267314053339,0.2329984082390912,620,0.009357441255057665
SC1,4,1.878047144044714,0.3082755482261246,620,0.012380643948161884
SC1,5,2.0969063213418027,0.36512335958577563,620,0.014663706992655623
SC1,6,2.33793461950377,0.4060199645328304,620,0.01630615417165382
SC1,7,2.561670630051953,0.4111041723246061,620,0.016510340870179368
SC1,8,2.7604569192526496,0.4126497800629103,620,0.016572413970694727
SC10,1,1.2096643806612577,0.27565913922634105,552,0.011732832126487899
SC10,2,1.4379487041378944,0.2502389204638914,552,0.010650875764745332
SC10,3,1.6160882102858916,0.26718373381744454,552,0.011372094916230339
SC10,4,1.8299962647987964,0.3234304696191876,552,0.013766114975485124
SC10,5,2.055901910960917,0.3580470248919917,552,0.015239493412902408
SC10,6,2.292006826152626,0.39563128387328506,552,0.016839185708480114
SC10,7,2.5218132834199203,0.3989303687779906,552,0.016979604087013024
SC10,8,2.7212967914543307,0.38964007055911265,552,0.016584182735437214
SC2,1,1.351144450389799,0.2821898588834656,296,0.016401952386327225
SC2,2,1.6204317946481632,0.2486900710106946,296,0.014454816767012995
SC2,3,1.869814915915562,0.28830246666441756,296,0.016757240496878607
SC2,4,2.161634648921877,0.3904587198924621,296,0.022694952107216528
SC2,5,2.457139553429931,0.45729217708557696,296,0.02657956790110939
SC2,6,2.7819843907143427,0.49647536482464155,296,0.028857044427670408
SC2,7,3.0530336387528574,0.5190678810348844,296,0.030170207759031505
SC2,8,3.327003037042092,0.5474515142334847,296,0.03181997292818548
SC3,1,1.3838495562839566,0.30714496714210804,421,0.014969329756234731
SC3,2,1.6695084843452068,0.23373970554157625,421,0.011391776208913748
SC3,3,1.8968933522040308,0.25573319475251083,421,0.01246367328589351
SC3,4,2.1477654442586003,0.3255888603229605,421,0.015868230108019462
SC3,5,2.4256548769548183,0.38924176390202936,421,0.01897048280804837
SC3,6,2.6882188850138844,0.4074562621099725,421,0.019858203132936177
SC3,7,2.958728459078428,0.39423848438819376,421,0.019214008063738207
SC3,8,3.211148924646574,0.42122811765419105,421,0.020529402302874894
SC4,1,1.413076908806241,0.3572425482539954,395,0.017974823340834202
SC4,2,1.7209028648029143,0.343429543366739,395,0.017279815638453846
SC4,3,2.005639020575962,0.367024454967482,395,0.018467004482108643
SC4,4,2.3086885408056723,0.4236521619993537,395,0.021316253640892253
SC4,5,2.6014843882179397,0.49410218735975037,395,0.024860979112142884
SC4,6,2.8816148936923387,0.5201312794616697,395,0.02617064486875834
SC4,7,3.1719602195906598,0.5501327069118293,395,0.027680180507850403
SC4,8,3.4414545939524586,0.582270694434832,395,0.029297218150984638
SC6,1,1.3639718683744093,0.3501342430521092,300,0.02021500994786411
SC6,2,1.7244105968928058,0.2952813469348684,300,0.017048076513952154
SC6,3,2.005043412150577,0.3325205060080634,300,0.019198080365482595
SC6,4,2.3003408218183665,0.4043717504053641,300,0.02334641389492171
SC6,5,2.6230810865093512,0.5146417887421513,300,0.029712857526651152
SC6,6,2.950846983300327,0.6399120398349877,300,0.03694533884564126
SC6,7,3.254355565150271,0.6964198439097404,300,0.040207818435028575
SC6,8,3.512246157154649,0.7161608274487652,300,0.041347564651060965
SC7,1,1.1929436641916882,0.28045721137198915,343,0.01514326601397876
SC7,2,1.4336424841996422,0.2690983259146143,343,0.014529943848854638
SC7,3,1.6726794800033178,0.36377819781968396,343,0.019642176404451893
SC7,4,1.9195802774636745,0.45224551968123683,343,0.024418962788157538
SC7,5,2.1679710117162445,0.5010383212024498,343,0.027053526432958837
SC7,6,2.420796683170829,0.5316030915612312,343,0.028703868907430957
SC7,7,2.659131272964575,0.5520069194818535,343,0.029805572059915096
SC7,8,2.8886220551266675,0.5871386797306337,343,0.03170250880967463
SC8,1,1.1418161662632427,0.26097967464636473,383,0.013335438423973488
SC8,2,1.3879042396573054,0.2274654323116407,383,0.01162294063813466
SC8,3,1.612288131531481,0.2635134425529949,383,0.013464907915976236
SC8,4,1.855560616431561,0.3215771647309601,383,0.016431825522951433
SC8,5,2.0993959282292436,0.3690768873392961,383,0.018858947967860612
SC8,6,2.3513471240021255,0.3879765002918293,383,0.019824673076940285
SC8,7,2.5893897643592596,0.40954783051309057,383,0.020926916561145023
SC8,8,2.7955404027991557,0.40972097674206887,383,0.02093576392015109
SC9,1,1.1400011926197287,0.2145409370872202,249,0.013595979456241778
SC9,2,1.3926295152112091,0.2227630343665706,249,0.014117033699851348
SC9,3,1.651518842671889,0.28532680769715396,249,0.018081851736242074
SC9,4,1.9265599013237027,0.36047872872626274,249,0.022844411219206745
SC9,5,2.196497295106813,0.3701034157321835,249,0.02345435097514273
SC9,6,2.4377367325372035,0.4007059036562853,249,0.025393704847531305
SC9,7,2.6832443631323644,0.463809946688676,249,0.029392761085107924
SC9,8,2.9294695389973695,0.5189451184839492,249,0.03288681062745771
