Colony,slide_id,Sample,NN_level,mean_distance,sd_distance,n,se_distance
SC1,1SG1T1,T1,1,1.2848570231026175,0.2877789176345123,80,0.03217466111610412
SC1,1SG1T1,T1,2,1.552213870615083,0.19690901501952143,80,0.02201509714830885
SC1,1SG1T1,T1,3,1.78132714665733,0.2647649993227315,80,0.02960162682741567
SC1,1SG1T1,T1,4,2.0219177293482375,0.3516416870384392,80,0.03931473579703283
SC1,1SG1T1,T1,5,2.283136642734597,0.39890899895209747,80,0.04459938192466412
SC1,1SG1T1,T1,6,2.5876810344883516,0.4324363347500076,80,0.048347852022093574
SC1,1SG1T1,T1,7,2.833332167433538,0.4705142769682709,80,0.05260509538426087
SC1,1SG1T1,T1,8,3.061369606860312,0.4609461962756402,80,0.051535351442114595
SC1,1SG1T2,T2,1,1.249595897874004,0.23800104637500968,86,0.025664312855937448
SC1,1SG1T2,T2,2,1.5130356886813252,0.20151452001407893,86,0.021729869533877923
SC1,1SG1T2,T2,3,1.717851444418708,0.24415166151625156,86,0.02632755074352462
SC1,1SG1T2,T2,4,1.9607807410434446,0.33237983317924996,86,0.03584143916861476
SC1,1SG1T2,T2,5,2.1965692848921865,0.37640338828546366,86,0.04058862120199217
SC1,1SG1T2,T2,6,2.4708629020441633,0.41128122490085206,86,0.04434959504756593
SC1,1SG1T2,T2,7,2.703572769771077,0.43013060881098464,86,0.0463821763877718
SC1,1SG1T2,T2,8,2.9146661349062097,0.4196688786674259,86,0.04525405901388585
SC1,1SG1T3,T3,1,1.169395457639279,0.307953203318325,206,0.021456116360873596
SC1,1SG1T3,T3,2,1.432808690390985,0.25168001878029206,206,0.017535377812176383
SC1,1SG1T3,T3,3,1.6232784886654053,0.2387422727047013,206,0.016633962330037794
SC1,1SG1T3,T3,4,1.8224860158861935,0.2916624564830682,206,0.02032108624611459
SC1,1SG1T3,T3,5,2.0142541605729716,0.3334374217443312,206,0.023231685992955328
SC1,1SG1T3,T3,6,2.2229010764445625,0.36402367263547725,206,0.025362731070882112
SC1,1SG1T3,T3,7,2.426825910911601,0.3546695549877267,206,0.024710998812406546
SC1,1SG1T3,T3,8,2.602996436361056,0.3823935133432907,206,0.026642618519723285
SC1,1SG1T4,T4,1,1.2549008126465107,0.2470624131554275,151,0.020105654042203876
SC1,1SG1T4,T4,2,1.4684958831754378,0.17563422963615366,151,0.014292910904306538
SC1,1SG1T4,T4,3,1.6357706883979448,0.19760039012071962,151,0.016080491692892024
SC1,1SG1T4,T4,4,1.8285785342252043,0.2803881220300288,151,0.022817661768455687
SC1,1SG1T4,T4,5,2.0556953316647157,0.3444018073219739,151,0.028027021597855094
SC1,1SG1T4,T4,6,2.300649903864992,0.3713591587592463,151,0.030220779745724135
SC1,1SG1T4,T4,7,2.5323949169579727,0.3731303792811767,151,0.030364919627592694
SC1,1SG1T4,T4,8,2.7280794945085005,0.35521577640505025,151,0.028907049921186662
SC1,1SG1T5,T5,1,1.1340409264017728,0.43171440621602414,97,0.04383395667843776
SC1,1SG1T5,T5,2,1.4898209910326308,0.19567209784687836,97,0.019867491417247824
