"genotype","angle_type","emmean","SE","df","lower.CL","upper.CL"
"1","Main",71.432537463549,1.23928515255401,8442,69.0032348995907,73.8618400275073
"2","Main",71.7521284273311,1.81478250774786,8442,68.1947100317238,75.3095468229384
"3","Main",69.3805978354818,1.52165556334976,8442,66.3977800764787,72.3634155944849
"4","Main",73.0438034862456,1.57878839851667,8442,69.9489913709225,76.1386156015687
"6","Main",70.2497861714114,1.81806718465771,8442,66.6859290042087,73.8136433386141
"7","Main",68.1899314325186,1.68845495893106,8442,64.8801459869284,71.4997168781089
"8","Main",76.2205127068118,1.5809496430583,8442,73.1214640226123,79.3195613910113
"9","Main",72.2625578937032,1.99159281619387,8442,68.3585479692965,76.1665678181099
"1","NN1",67.8919010820603,1.23928515255401,8442,65.462598518102,70.3212036460186
"2","NN1",69.2928119958657,1.81478250774787,8442,65.7353936002584,72.850230391473
"3","NN1",68.9944426192941,1.52165556334975,8442,66.011624860291,71.9772603782972
"4","NN1",67.4462166540537,1.57878839851667,8442,64.3514045387306,70.5410287693768
"6","NN1",72.8782726913348,1.81806718465771,8442,69.3144155241321,76.4421298585374
"7","NN1",73.0816352306407,1.68845495893107,8442,69.7718497850504,76.391420676231
"8","NN1",66.8697702287023,1.5809496430583,8442,63.7707215445028,69.9688189129018
"9","NN1",70.2062706972406,1.99159281619387,8442,66.3022607728339,74.1102806216473
"1","NN2",40.6755614543905,1.23928515255401,8442,38.2462588904322,43.1048640183488
"2","NN2",38.955059576803,1.81478250774787,8442,35.3976411811957,42.5124779724102
"3","NN2",41.6249595452239,1.52165556334975,8442,38.6421417862208,44.607777304227
"4","NN2",39.5099798597004,1.57878839851667,8442,36.4151677443773,42.6047919750236
"6","NN2",36.8719411376268,1.81806718465771,8442,33.3080839704241,40.4357983048295
"7","NN2",38.7284333365392,1.68845495893107,8442,35.4186478909489,42.0382187821294
"8","NN2",36.909717062329,1.5809496430583,8442,33.8106683781295,40.0087657465285
"9","NN2",37.5311714106923,1.99159281619387,8442,33.6271614862856,41.435181335099
