"contrast","angle_type","estimate","SE","df","t.ratio","p.value"
"genotype1 - genotype2","Main",-0.319590963782101,2.19755847243444,8442,-0.145430015988635,0.999999930200811
"genotype1 - genotype3","Main",2.0519396280672,1.96246359018813,8442,1.0455937314335,0.967382172702887
"genotype1 - genotype4","Main",-1.61126602269664,2.0070875657608,8442,-0.802788104606623,0.993013565289987
"genotype1 - genotype6","Main",1.18275129213758,2.20027179622655,8442,0.537547813032005,0.999457771757316
"genotype1 - genotype7","Main",3.24260603103035,2.09444690495598,8442,1.54819204218428,0.781038520011179
"genotype1 - genotype8","Main",-4.78797524326281,2.00878805831451,8442,-2.38351438990543,0.249466850808282
"genotype1 - genotype9","Main",-0.830020430154205,2.34569171777875,8442,-0.353848898328461,0.999967327959617
"genotype2 - genotype3","Main",2.3715305918493,2.36830555543428,8442,1.00136174844822,0.974368294288589
"genotype2 - genotype4","Main",-1.29167505891453,2.40541230513989,8442,-0.536986967329667,0.999461487207946
"genotype2 - genotype6","Main",1.50234225591969,2.56881370253991,8442,0.584838929516082,0.999058015938861
"genotype2 - genotype7","Main",3.56219699481245,2.47877302284144,8442,1.43708075002731,0.840074984475099
"genotype2 - genotype8","Main",-4.46838427948071,2.4068313867643,8442,-1.85654230040931,0.58108234580942
"genotype2 - genotype9","Main",-0.510429466372104,2.6944159842056,8442,-0.189439741066039,0.999999560551887
"genotype3 - genotype4","Main",-3.66320565076383,2.19271714107499,8442,-1.67062389495798,0.706428908992443
"genotype3 - genotype6","Main",-0.869188335929614,2.37082347326883,8442,-0.366618749025291,0.999958402894333
"genotype3 - genotype7","Main",1.19066640296315,2.27295310154261,8442,0.523841165994612,0.999542717067112
"genotype3 - genotype8","Main",-6.83991487133,2.1942737813134,8442,-3.11716565616343,0.0387381070664643
"genotype3 - genotype9","Main",-2.8819600582214,2.50636741101306,8442,-1.14985538255803,0.94560002977917
"genotype4 - genotype6","Main",2.79401731483422,2.40789142097812,8442,1.16035851554272,0.942954510043982
"genotype4 - genotype7","Main",4.85387205372698,2.31159100094063,8442,2.09979708856448,0.415004654743669
"genotype4 - genotype8","Main",-3.17670922056617,2.23427271862165,8442,-1.42180907195874,0.847439698915422
"genotype4 - genotype9","Main",0.781245592542431,2.54145917787515,8442,0.307400409710933,0.999987524838029
"genotype6 - genotype7","Main",2.05985473889276,2.48117884004118,8442,0.830191965871584,0.991434801918947
"genotype6 - genotype8","Main",-5.97072653540039,2.40930904240518,8442,-2.47819039828942,0.204834992657225
"genotype6 - genotype9","Main",-2.01277172229179,2.69662942085935,8442,-0.746402789616663,0.995538785175382
"genotype7 - genotype8","Main",-8.03058127429316,2.31306764324458,8442,-3.47183157299651,0.0121733804449874
"genotype7 - genotype9","Main",-4.07262646118455,2.61100020947029,8442,-1.55979553215386,0.77435814443802
"genotype8 - genotype9","Main",3.9579548131086,2.54280233588873,8442,1.55653263222494,0.776245780870927
"genotype1 - genotype2","NN1",-1.40091091380541,2.19755847243446,8442,-0.63748515972523,0.998354916638201
"genotype1 - genotype3","NN1",-1.1025415372338,1.96246359018812,8442,-0.561815028185116,0.999275348784086
"genotype1 - genotype4","NN1",0.445684428006627,2.00708756576081,8442,0.222055298238911,0.999998676889002
"genotype1 - genotype6","NN1",-4.98637160927446,2.20027179622655,8442,-2.26625256835362,0.312530736837997
"genotype1 - genotype7","NN1",-5.1897341485804,2.09444690495599,8442,-2.47785424223463,0.204983255696556
"genotype1 - genotype8","NN1",1.022130853358,2.00878805831451,8442,0.508829614516739,0.999622757137504
"genotype1 - genotype9","NN1",-2.31436961518034,2.34569171777875,8442,-0.986646965429849,0.976425411495889
"genotype2 - genotype3","NN1",0.29836937657161,2.36830555543428,8442,0.125984324905617,0.999999974345811
