spacing_cluster,nn_rank,n,mean_ratio,sd_ratio,se_ratio,mean_SE,nn_rank_num
Low-spacing,NN2,2147,1.266447571133012,0.37999357021523256,0.008200875633576648,1.266 ± 0.008,2
Low-spacing,NN3,2147,1.4650944207516081,0.4811124669650328,0.010383184918388718,1.465 ± 0.010,3
Low-spacing,NN4,2147,1.6744902764336276,0.5641823801080176,0.012175967954669482,1.674 ± 0.012,4
Low-spacing,NN5,2147,1.8863424149903918,0.6336117786926312,0.013674366632267987,1.886 ± 0.014,5
Low-spacing,NN6,2147,2.1053310732828114,0.7079309205224709,0.015278293875024862,2.105 ± 0.015,6
Low-spacing,NN7,2147,2.3167697416295776,0.7835185385865729,0.01690959688583866,2.317 ± 0.017,7
Low-spacing,NN8,2147,2.5062211192660455,0.8352131778972439,0.01802525078405933,2.506 ± 0.018,8
High-spacing,NN2,1412,1.2815969641640135,0.37666275581647357,0.010023867820156223,1.282 ± 0.010,2
High-spacing,NN3,1412,1.4959778768789918,0.487534289453514,0.012974415972406245,1.496 ± 0.013,3
High-spacing,NN4,1412,1.717344422221722,0.577122158693643,0.015358556548253478,1.717 ± 0.015,4
High-spacing,NN5,1412,1.944508114045644,0.6552285315966193,0.01743714792953871,1.945 ± 0.017,5
High-spacing,NN6,1412,2.1696801878360024,0.7187337912227684,0.019127169888299576,2.170 ± 0.019,6
High-spacing,NN7,1412,2.389335909196459,0.7872881310001523,0.020951559557347177,2.389 ± 0.021,7
High-spacing,NN8,1412,2.5934439898012287,0.853989562573362,0.022726639050024238,2.593 ± 0.023,8
