colony,genotype,nn_rank,n,mean_SE
SC1,1,NN2,620,1.320 ± 0.021
SC1,1,NN3,1240,1.326 ± 0.014
SC1,1,NN4,1860,1.372 ± 0.012
SC1,1,NN5,2480,1.429 ± 0.010
SC1,1,NN6,3100,1.498 ± 0.010
SC1,1,NN7,3720,1.554 ± 0.010
SC1,1,NN8,4340,1.591 ± 0.009
SC2,2,NN2,296,1.242 ± 0.017
SC2,2,NN3,592,1.308 ± 0.014
SC2,2,NN4,888,1.396 ± 0.013
SC2,2,NN5,1184,1.478 ± 0.013
SC2,2,NN6,1480,1.568 ± 0.013
SC2,2,NN7,1776,1.619 ± 0.013
SC2,2,NN8,2072,1.670 ± 0.013
SC3,3,NN2,421,1.275 ± 0.020
SC3,3,NN3,842,1.306 ± 0.014
SC3,3,NN4,1263,1.366 ± 0.012
SC3,3,NN5,1684,1.442 ± 0.011
SC3,3,NN6,2105,1.502 ± 0.011
SC3,3,NN7,2526,1.564 ± 0.010
SC3,3,NN8,2947,1.611 ± 0.011
SC4,4,NN2,395,1.269 ± 0.017
SC4,4,NN3,790,1.345 ± 0.014
SC4,4,NN4,1185,1.425 ± 0.014
SC4,4,NN5,1580,1.487 ± 0.012
SC4,4,NN6,1975,1.542 ± 0.012
SC4,4,NN7,2370,1.602 ± 0.012
SC4,4,NN8,2765,1.647 ± 0.012
SC6,6,NN2,300,1.346 ± 0.026
SC6,6,NN3,600,1.381 ± 0.019
SC6,6,NN4,900,1.443 ± 0.016
SC6,6,NN5,1200,1.521 ± 0.016
SC6,6,NN6,1500,1.595 ± 0.016
SC6,6,NN7,1800,1.653 ± 0.016
SC6,6,NN8,2100,1.686 ± 0.016
SC7,7,NN2,343,1.241 ± 0.015
SC7,7,NN3,686,1.317 ± 0.013
SC7,7,NN4,1029,1.394 ± 0.012
SC7,7,NN5,1372,1.469 ± 0.012
SC7,7,NN6,1715,1.541 ± 0.012
SC7,7,NN7,2058,1.598 ± 0.012
SC7,7,NN8,2401,1.644 ± 0.012
SC8,8,NN2,383,1.277 ± 0.020
SC8,8,NN3,766,1.333 ± 0.014
SC8,8,NN4,1149,1.415 ± 0.013
SC8,8,NN5,1532,1.487 ± 0.013
SC8,8,NN6,1915,1.560 ± 0.012
SC8,8,NN7,2298,1.619 ± 0.013
SC8,8,NN8,2681,1.656 ± 0.012
SC9,9,NN2,249,1.247 ± 0.015
SC9,9,NN3,498,1.347 ± 0.015
SC9,9,NN4,747,1.443 ± 0.015
SC9,9,NN5,996,1.524 ± 0.014
SC9,9,NN6,1245,1.580 ± 0.015
SC9,9,NN7,1494,1.634 ± 0.015
SC9,9,NN8,1743,1.687 ± 0.015
SC10,10,NN2,552,1.224 ± 0.011
SC10,10,NN3,1104,1.261 ± 0.009
SC10,10,NN4,1656,1.335 ± 0.008
SC10,10,NN5,2208,1.410 ± 0.008
SC10,10,NN6,2760,1.482 ± 0.008
SC10,10,NN7,3312,1.545 ± 0.008
SC10,10,NN8,3864,1.587 ± 0.008
