genotype,colony,nn_rank,nn_rank_num,n,mean_NNk_over_NN1,sd,se
1,SC1,NN2,2,620,1.3197645804511102,0.5266547123875437,0.02115096223236307
1,SC1,NN3,3,1240,1.326034359042848,0.502506940532268,0.014270238183329382
1,SC1,NN4,4,1860,1.3722722108444816,0.5073817188991473,0.011764631902559334
1,SC1,NN5,5,2480,1.42851725693139,0.5222727794453029,0.010487489785252475
1,SC1,NN6,6,3100,1.498175049965888,0.5541136772462745,0.0099521754358984
1,SC1,NN7,7,3720,1.5544700632080066,0.5946274362595465,0.009749300884124658
1,SC1,NN8,8,4340,1.5914238577006639,0.6221541617081291,0.009443938403266286
2,SC2,NN2,2,296,1.242162853824735,0.2898599280953744,0.01684776610377026
2,SC2,NN3,3,592,1.3082173358754547,0.3446374291075157,0.014164511083199363
2,SC2,NN4,4,888,1.3958949498283189,0.3962551618284525,0.01329745256354895
2,SC2,NN5,5,1184,1.4779080370642284,0.45590625407736074,0.01324950638125823
2,SC2,NN6,6,1480,1.56780722243363,0.5035200930197615,0.013088381583788642
2,SC2,NN7,7,1776,1.6194850137455892,0.556681991834356,0.01320947909102516
2,SC2,NN8,8,2072,1.6701262638192398,0.6070539720600044,0.013336210124306193
3,SC3,NN2,2,421,1.274675161465224,0.4132853806187519,0.020142296985939858
3,SC3,NN3,3,842,1.3064576217196677,0.41788070858439874,0.014401120247357804
3,SC3,NN4,4,1263,1.3661260359370622,0.4233516847657809,0.011912409578867049
3,SC3,NN5,5,1684,1.4424939272886528,0.4667663657430208,0.011374400357167105
3,SC3,NN6,6,2105,1.5022353346046475,0.4942555152239885,0.010772722531945009
3,SC3,NN7,7,2526,1.5635530533350173,0.5247391887871473,0.010440632912672427
3,SC3,NN8,8,2947,1.611021113432804,0.571950829929859,0.010535826897196409
4,SC4,NN2,2,395,1.2694994193392322,0.3314400425814271,0.01667655838476426
4,SC4,NN3,3,790,1.3445336341579093,0.39965643081997737,0.01421913769643153
4,SC4,NN4,4,1185,1.4253646296074463,0.4666784771676408,0.01355684394558652
4,SC4,NN5,5,1580,1.4870115957120136,0.49666328793500825,0.01249492103354153
4,SC4,NN6,6,1975,1.5419439836693658,0.5313817063611194,0.011957022572006412
4,SC4,NN7,7,2370,1.602353847260508,0.5832209333379849,0.011980058273556879
4,SC4,NN8,8,2765,1.647409703641702,0.6347226272536971,0.012070809971277373
6,SC6,NN2,2,300,1.3461473168386984,0.44267220509149574,0.025557691677234026
6,SC6,NN3,3,600,1.3805620102662757,0.4567865888511888,0.01864823440053173
6,SC6,NN4,4,900,1.442598371303601,0.4903919882578762,0.016346399608595873
6,SC6,NN5,5,1200,1.520524372505489,0.5419693344981955,0.015645307058252775
6,SC6,NN6,6,1500,1.5954411062337626,0.6155158601156125,0.01589255117036201
6,SC6,NN7,7,1800,1.6533563267973699,0.6718988416087759,0.015836807572431714
6,SC6,NN8,8,2100,1.6863349293757994,0.7147668246199056,0.015597490847923539
7,SC7,NN2,2,343,1.2414487090536177,0.2803688219536621,0.015138493433990534
7,SC7,NN3,3,686,1.3169744791040845,0.3530003275637419,0.013477615134311182
7,SC7,NN4,4,1029,1.3940631080100048,0.39628601820672443,0.01235381411758478
7,SC7,NN5,5,1372,1.4691317783026252,0.4515918364810435,0.012191833606487621
7,SC7,NN6,6,1715,1.5409229885886466,0.4981011980039419,0.012027781336525795
7,SC7,NN7,7,2058,1.5975775249238715,0.5464284314413204,0.012045105355132429
7,SC7,NN8,8,2401,1.6439960404968013,0.5924515272397297,0.012090847494688362
8,SC8,NN2,2,383,1.276557113298859,0.39220468650463985,0.02004072329986447
8,SC8,NN3,3,766,1.3331484207381377,0.3905098581876101,0.01410969470896861
8,SC8,NN4,4,1149,1.4149146688579746,0.44197531761250264,0.013038811361549883
8,SC8,NN5,5,1532,1.4866067277156787,0.4898432834995591,0.012514911272988571
8,SC8,NN6,6,1915,1.560216827042746,0.5456600481577457,0.012469176370159239
8,SC8,NN7,7,2298,1.618683732004241,0.5998353047116793,0.012512872271724481
8,SC8,NN8,8,2681,1.6559574480238126,0.6412700078129867,0.012384900489485283
9,SC9,NN2,2,249,1.2474803878670726,0.23693201068089534,0.0150149560894008
9,SC9,NN3,3,498,1.3469289587591087,0.328686864212752,0.014728810571646508
9,SC9,NN4,4,747,1.4433566568522886,0.40954722334674126,0.01498454930049583
9,SC9,NN5,5,996,1.524432214875418,0.45301538361813765,0.014354341722973157
9,SC9,NN6,6,1245,1.5797336848426677,0.5163177740099629,0.014632967229054702
9,SC9,NN7,7,1494,1.634159699401591,0.5825382422207613,0.015071245431456232
9,SC9,NN8,8,1743,1.6866338719614646,0.6446742801830859,0.015441576966545804
10,SC10,NN2,2,552,1.223637676023793,0.25382481232627524,0.010803501458067776
10,SC10,NN3,3,1104,1.2606785523322315,0.28707299812294473,0.008639881944230031
10,SC10,NN4,4,1656,1.3350473775517593,0.33877717175453,0.00832499481735191
10,SC10,NN5,5,2208,1.4099057414703142,0.37946713192271847,0.008075596856437642
10,SC10,NN6,6,2760,1.4821487310684147,0.4206466883982877,0.008006872873369889
10,SC10,NN7,7,3312,1.5453797656902508,0.4614867969292329,0.008018887421397936
10,SC10,NN8,8,3864,1.587126400920891,0.5024570157983902,0.008083144744844265
