genotype,colony,nn_rank,nn_rank_num,n,mean_NNk_over_NN1,sd,se,mean_SE
1,SC1,NN2,2,620,1.3197645804511102,0.5266547123875437,0.02115096223236307,1.320 ± 0.021
1,SC1,NN3,3,620,1.5094743802404564,0.6410017299881016,0.025743248969319187,1.509 ± 0.026
1,SC1,NN4,4,620,1.7001000704706606,0.7239614359973204,0.029074990938652855,1.700 ± 0.029
1,SC1,NN5,5,620,1.8949958494602,0.7946492079139635,0.031913880174677806,1.895 ± 0.032
1,SC1,NN6,6,620,2.1100469627582745,0.8781764273198623,0.0352684140304927,2.110 ± 0.035
1,SC1,NN7,7,620,2.316753835783512,0.9759630974029092,0.039195621206478445,2.317 ± 0.039
1,SC1,NN8,8,620,2.4954700843230393,1.0329743782960141,0.04148524934542002,2.495 ± 0.041
2,SC2,NN2,2,296,1.242162853824735,0.2898599280953744,0.01684776610377026,1.242 ± 0.017
2,SC2,NN3,3,296,1.449997061834342,0.40701040892163476,0.02365699949064818,1.450 ± 0.024
2,SC2,NN4,4,296,1.676061091216819,0.4950543025977467,0.028774446863478124,1.676 ± 0.029
2,SC2,NN5,5,296,1.908346121136979,0.5860179603127122,0.034061602073911,1.908 ± 0.034
2,SC2,NN6,6,296,2.1565428234738038,0.6263195632090988,0.036404085161059,2.157 ± 0.036
2,SC2,NN7,7,296,2.3722246665324755,0.7000368862294292,0.0406888175288734,2.372 ± 0.041
2,SC2,NN8,8,296,2.582950684437935,0.7457851582731346,0.04334788182971872,2.583 ± 0.043
3,SC3,NN2,2,421,1.274675161465224,0.4132853806187519,0.020142296985939858,1.275 ± 0.020
3,SC3,NN3,3,421,1.4633706408401896,0.5165843668572153,0.025176781525524945,1.463 ± 0.025
3,SC3,NN4,4,421,1.654253519600835,0.5607782881085535,0.02733066145586503,1.654 ± 0.027
3,SC3,NN5,5,421,1.8694388621992062,0.6480565459069331,0.03158434346696934,1.869 ± 0.032
3,SC3,NN6,6,421,2.0694285152744563,0.6939635915611457,0.033821715971967876,2.069 ± 0.034
3,SC3,NN7,7,421,2.2733257142607797,0.7280567004286174,0.035483312428524066,2.273 ± 0.035
3,SC3,NN8,8,421,2.4680881060497795,0.791297944592805,0.03856550207628826,2.468 ± 0.039
4,SC4,NN2,2,395,1.2694994193392322,0.3314400425814271,0.01667655838476426,1.269 ± 0.017
4,SC4,NN3,3,395,1.5020624554700592,0.46381686206050277,0.023337159022026883,1.502 ± 0.023
4,SC4,NN4,4,395,1.7428149570586218,0.6052944895949749,0.030455671007907154,1.743 ± 0.030
4,SC4,NN5,5,395,1.9599179626264516,0.659122088374358,0.03316403143039749,1.960 ± 0.033
4,SC4,NN6,6,395,2.1684447395194475,0.7053500125911064,0.0354900107272945,2.168 ± 0.035
4,SC4,NN7,7,395,2.3922853245051083,0.784168002128629,0.03945577416992172,2.392 ± 0.039
4,SC4,NN8,8,395,2.598696418553566,0.8619481561446111,0.0433693184403151,2.599 ± 0.043
6,SC6,NN2,2,300,1.3461473168386984,0.44267220509149574,0.025557691677234026,1.346 ± 0.026
6,SC6,NN3,3,300,1.5790930738192603,0.5378952616428977,0.031055397410535115,1.579 ± 0.031
6,SC6,NN4,4,300,1.8130786712892866,0.6229846554202226,0.03596803585078717,1.813 ± 0.036
6,SC6,NN5,5,300,2.0652454965086307,0.7075359525944473,0.04084960726917424,2.065 ± 0.041
6,SC6,NN6,6,300,2.324955574784872,0.8247147474000582,0.04761492814160778,2.325 ± 0.048
6,SC6,NN7,7,300,2.565136578694937,0.9145249289469102,0.052800121390812194,2.565 ± 0.053
6,SC6,NN8,8,300,2.772797776766968,0.9898218556754941,0.05714739148240214,2.773 ± 0.057
7,SC7,NN2,2,343,1.2414487090536177,0.2803688219536621,0.015138493433990534,1.241 ± 0.015
7,SC7,NN3,3,343,1.4602887809806986,0.4186143489723327,0.022603050257632637,1.460 ± 0.023
7,SC7,NN4,4,343,1.6764551621701707,0.48626758187417407,0.026255981474934777,1.676 ± 0.026
7,SC7,NN5,5,343,1.9004692156692489,0.5750031775635992,0.031047253283779552,1.900 ± 0.031
7,SC7,NN6,6,343,2.1255188440693153,0.6350867221831579,0.03429145975215925,2.126 ± 0.034
7,SC7,NN7,7,343,2.3381077567858806,0.6929792355284693,0.037417361651836435,2.338 ± 0.037
7,SC7,NN8,8,343,2.5394941214490623,0.7418386336909557,0.0400555211772696,2.539 ± 0.040
8,SC8,NN2,2,383,1.276557113298859,0.39220468650463985,0.02004072329986447,1.277 ± 0.020
8,SC8,NN3,3,383,1.4922358871169075,0.472721028006218,0.024154916160564602,1.492 ± 0.024
8,SC8,NN4,4,383,1.7250585523347868,0.5662420737075929,0.02893361836404544,1.725 ± 0.029
8,SC8,NN5,5,383,1.9530653290680953,0.6520308385890834,0.03331721947434666,1.953 ± 0.033
8,SC8,NN6,6,383,2.193358195343313,0.7559435514996039,0.03862691106762486,2.193 ± 0.039
8,SC8,NN7,7,383,2.420100808223383,0.8431389759751214,0.04308238912552768,2.420 ± 0.043
8,SC8,NN8,8,383,2.6158806691989795,0.8948713325784511,0.04572578906441387,2.616 ± 0.046
9,SC9,NN2,2,249,1.2474803878670726,0.23693201068089534,0.0150149560894008,1.247 ± 0.015
9,SC9,NN3,3,249,1.4927579852764843,0.355777740984916,0.022546498225895772,1.493 ± 0.023
9,SC9,NN4,4,249,1.7472014072838793,0.4605409424283301,0.029185596357623023,1.747 ± 0.029
9,SC9,NN5,5,249,1.9920188236971474,0.4960900742718403,0.03143843105105546,1.992 ± 0.031
9,SC9,NN6,6,249,2.216164559087485,0.5687676152568295,0.03604418307012289,2.216 ± 0.036
9,SC9,NN7,7,249,2.4431899844812652,0.652733013738554,0.04136527399240489,2.443 ± 0.041
9,SC9,NN8,8,249,2.6676278615273987,0.7289274313573181,0.046193899012364925,2.668 ± 0.046
10,SC10,NN2,2,552,1.223637676023793,0.25382481232627524,0.010803501458067776,1.224 ± 0.011
10,SC10,NN3,3,552,1.3869229540373555,0.33173066242551746,0.014119394642132379,1.387 ± 0.014
10,SC10,NN4,4,552,1.5766193536755637,0.41458211491412866,0.0176457866428213,1.577 ± 0.018
10,SC10,NN5,5,552,1.773880596396422,0.47163997613743763,0.020074330492694706,1.774 ± 0.020
10,SC10,NN6,6,552,1.9764176990634388,0.5153155972154279,0.02193328837657389,1.976 ± 0.022
10,SC10,NN7,7,552,2.1748068493296704,0.5505758077857961,0.02343406260277162,2.175 ± 0.023
10,SC10,NN8,8,552,2.348726763230717,0.5800553903383011,0.0246887969613647,2.349 ± 0.025
