day,n,mean_nubbin,sd_nubbin,se_nubbin,mean_perim,sd_perim,se_perim
38,31,1.5023837429668694,0.9458806873047991,0.16988518652467188,1.6669650516835373,0.71182593895251,0.1278477127560582
45,232,1.9897265893548677,1.0373754945693234,0.06810703786399418,1.5981325542279856,0.7652893350258854,0.050243706343919066
53,344,2.5756307370417244,1.171840046678629,0.06318138099210165,1.521139094344832,0.6708194836793672,0.03616816262202243
60,371,3.133477953239699,1.45180729682311,0.07537407926529632,1.3933241934162133,0.7259209994013421,0.03768794045115377
67,288,3.5864456387344568,1.4359141907966493,0.08461205512619206,1.2432802262977622,0.5517382251099754,0.032511486701257794
75,457,4.118704056158834,1.648168552978033,0.07709807302643075,1.2823308293567128,0.6318187345230601,0.029555233805249766
85,319,4.803387674811379,1.6683815227747696,0.09341143200187176,1.1943030570334638,0.6065825995552246,0.03396210547671042
95,341,5.087031756222753,1.611925582429341,0.08729066426771892,1.2922463421546728,0.7278837292461966,0.039417113871849686
102,269,5.712551026196354,1.8421892004455132,0.11232025790327202,1.0194255890837878,0.5720153682412116,0.0348763925388066
109,169,5.888689916161796,1.9147827756266218,0.14729098274050936,0.9753137188262265,0.6615342860096675,0.05088725276997442
116,192,5.977906296115298,1.9528538191769746,0.1409350847737269,0.9883423319532479,0.7721966342842534,0.05572849183391709
127,123,6.347810700563872,1.9899893354058054,0.1794312957047439,0.9481879274041397,0.6360124633710975,0.05734731254917511
134,67,6.38407314757252,2.4601223625924376,0.3005517820864389,1.4698691414102607,1.139150959651564,0.13916943977858345
141,90,6.831871871903598,2.762837522771493,0.29122864589784125,1.2382874576867293,1.1419829155251953,0.12037556873530927
149,29,6.636038054122626,3.3399723708955773,0.620217298915464,1.4117494470633054,1.1910875904436011,0.22117941290591436
