day,n,mean_ratio,sd_ratio,se_ratio
38,33,1.8049458224554888,0.6578639998290773,0.11451942302788538
45,212,1.65789083780528,0.6869885105219752,0.0471825646157842
53,295,1.5758529347059942,0.6246555545598748,0.036368852469862066
60,307,1.4007380252766026,0.5528641590226485,0.031553624194027484
67,238,1.3209356567115669,0.3813872524255012,0.02472166371375391
75,387,1.3789677863982555,0.4416980540960049,0.022452773922778075
85,261,1.270911333394449,0.3373213540036633,0.02087966763535043
95,286,1.3881714096946944,0.5619339896081261,0.033227853378288534
102,232,1.2773698653885204,0.31064914158357876,0.020395115326137313
109,140,1.2862935671452047,0.3703200529529333,0.03129775683644611
116,162,1.298916410557846,0.3318987129210779,0.026076425619286824
127,107,1.2470372977776696,0.25893214483075866,0.02503191525947509
134,62,1.3222365205437392,0.5612525477871142,0.07127914484814399
141,79,1.2322129998541589,0.237513308265853,0.02672233494388242
149,21,1.2442836261999373,0.3180405063432452,0.06940212830380972
