"angle_type","colony","emmean","SE","df","lower.CL","upper.CL"
"main","SC1",70.9998156031899,1.19182596821763,Inf,68.6638796296437,73.335751576736
"NN1","SC1",68.393043032955,1.19182596821763,Inf,66.0571070594088,70.7289790065011
"NN2","SC1",40.6071413638442,1.19182596821763,Inf,38.2712053902981,42.9430773373903
"main","SC2",71.164648687059,1.74522911109977,Inf,67.7440624845326,74.5852348895854
"NN1","SC2",69.9731814667003,1.74522911109977,Inf,66.5525952641739,73.3937676692267
"NN2","SC2",38.8621698462258,1.74522911109977,Inf,35.4415836436994,42.2827560487522
"main","SC3",68.578567832192,1.46380397782678,Inf,65.709564755225,71.4475709091589
"NN1","SC3",69.9232861036313,1.46380397782678,Inf,67.0542830266644,72.7922891805983
"NN2","SC3",41.4981460641566,1.46380397782678,Inf,38.6291429871896,44.3671491411235
"main","SC4",71.1638224329515,1.52195665951233,Inf,68.1808421942764,74.1468026716266
"NN1","SC4",69.6234521001936,1.52195665951233,Inf,66.6404718615186,72.6064323388687
"NN2","SC4",39.2127254668084,1.52195665951233,Inf,36.2297452281334,42.1957057054835
"main","SC6",74.7515834137072,1.76773663363323,Inf,71.286883277634,78.2162835497804
"NN1","SC6",67.6646709318431,1.76773663363323,Inf,64.1999707957699,71.1293710679163
"NN2","SC6",37.583745654932,1.76773663363323,Inf,34.1190455188588,41.0484457910052
"main","SC7",68.4833990316308,1.6235195580912,Inf,65.3013591695757,71.6654388936859
"NN1","SC7",72.7417658165514,1.6235195580912,Inf,69.5597259544962,75.9238056786065
"NN2","SC7",38.774835151523,1.6235195580912,Inf,35.5927952894679,41.9568750135781
"main","SC8",74.0483050264622,1.52535551729785,Inf,71.058663148939,77.0379469039855
"NN1","SC8",69.3854378997927,1.52535551729785,Inf,66.3957960222695,72.375079777316
"NN2","SC8",36.5662570715347,1.52535551729785,Inf,33.5766151940114,39.5558989490579
"main","SC9",76.0899130791273,1.92791145150878,Inf,72.3112760687877,79.8685500894668
"NN1","SC9",65.773750826854,1.92791145150878,Inf,61.9951138165145,69.5523878371936
"NN2","SC9",38.1363360957474,1.92791145150878,Inf,34.3576990854079,41.914973106087
