"contrast","genotype","estimate","SE","df","z.ratio","p.value"
"Main - NN1","1",2.60677257023479,1.68549644824182,Inf,1.5465903668643,0.269205174838762
"Main - NN2","1",30.3926742393457,1.68549644824182,Inf,18.0318826960738,0
"NN1 - NN2","1",27.7859016691109,1.68549644824182,Inf,16.4852923292095,0
"Main - NN1","2",1.19146722035851,2.46812667836563,Inf,0.482741518416507,0.879485459665392
"Main - NN2","2",32.3024788408331,2.46812667836563,Inf,13.0878528739957,0
"NN1 - NN2","2",31.1110116204746,2.46812667836563,Inf,12.6051113555792,0
"Main - NN1","3",-1.34471827143951,2.07013143809832,Inf,-0.649581107117915,0.792605261369691
"Main - NN2","3",27.0804217680353,2.07013143809832,Inf,13.0814987249854,0
"NN1 - NN2","3",28.4251400394748,2.07013143809832,Inf,13.7310798321033,0
"Main - NN1","4",1.54037033275772,2.15237174922639,Inf,0.715661842946675,0.754219787591271
"Main - NN2","4",31.951096966143,2.15237174922639,Inf,14.8445996736516,0
"NN1 - NN2","4",30.4107266333853,2.15237174922639,Inf,14.1289378307049,0
"Main - NN1","6",7.08691248186399,2.49995712198787,Inf,2.8348136132146,0.0127385110773456
"Main - NN2","6",37.1678377587752,2.49995712198787,Inf,14.8673900971632,0
"NN1 - NN2","6",30.0809252769112,2.49995712198787,Inf,12.0325764839487,0
"Main - NN1","7",-4.25836678492072,2.29600337783054,Inf,-1.85468663767576,0.152085731026018
"Main - NN2","7",29.7085638801078,2.29600337783054,Inf,12.939250946651,0
"NN1 - NN2","7",33.9669306650285,2.29600337783054,Inf,14.7939375843268,0
"Main - NN1","8",4.66286712666938,2.15717846000324,Inf,2.16155835649424,0.0779197917644843
"Main - NN2","8",37.4820479549275,2.15717846000324,Inf,17.375497043889,0
"NN1 - NN2","8",32.8191808282581,2.15717846000324,Inf,15.2139386873948,0
"Main - NN1","9",10.3161622522731,2.72647852177811,Inf,3.78369467056914,0.000453711913215415
"Main - NN2","9",37.9535769833798,2.72647852177811,Inf,13.9203652917933,0
"NN1 - NN2","9",27.6374147311067,2.72647852177811,Inf,10.1366706212241,2.98649993624167e-14
