"contrast","angle_type","estimate","SE","df","z.ratio","p.value"
"genotype1 - genotype2","Main",-0.164833083869059,2.1129451798969,Inf,-0.078011055581244,0.99999999909908
"genotype1 - genotype3","Main",2.42124777099795,1.88700837494302,Inf,1.28311448065039,0.905373205030827
"genotype1 - genotype4","Main",-0.164006829761592,1.93164293251445,Inf,-0.0849053554365253,0.999999998371517
"genotype1 - genotype6","Main",-3.75176781051732,2.13509911374698,Inf,-1.75718672091675,0.649260063677011
"genotype1 - genotype7","Main",2.51641657155911,2.0142324386726,Inf,1.24931786582558,0.916986695936316
"genotype1 - genotype8","Main",-3.04848942327232,1.93409876803142,Inf,-1.57618084125826,0.764792779065956
"genotype1 - genotype9","Main",-5.09009747593734,2.26905365478936,Inf,-2.24326889106105,0.325721009104254
"genotype2 - genotype3","Main",2.58608085486701,2.27713159382186,Inf,1.13567475058682,0.949056651895521
"genotype2 - genotype4","Main",0.000826254107467284,2.3140079102626,Inf,0.000357066241564194,1
"genotype2 - genotype6","Main",-3.58693472664826,2.48772638609076,Inf,-1.44185258744826,0.837763512237248
"genotype2 - genotype7","Main",2.68124965542817,2.38386619849589,Inf,1.12474838441852,0.951597504557976
"genotype2 - genotype8","Main",-2.88365633940327,2.31599164997089,Inf,-1.24510653544002,0.9183656340134
"genotype2 - genotype9","Main",-4.92526439206828,2.60346420839582,Inf,-1.89181183139947,0.556550019411392
"genotype3 - genotype4","Main",-2.58525460075954,2.10921191421897,Inf,-1.22569694554226,0.924527372519846
"genotype3 - genotype6","Main",-6.17301558151527,2.30049504879177,Inf,-2.68334225920519,0.127563002163498
"genotype3 - genotype7","Main",0.0951688005611655,2.18635440161828,Inf,0.0435285333844889,0.999999999984834
"genotype3 - genotype8","Main",-5.46973719427027,2.11128665743272,Inf,-2.59071271777058,0.159126583273217
"genotype3 - genotype9","Main",-7.51134524693529,2.42498090204674,Inf,-3.09748635158138,0.0410134410546065
"genotype4 - genotype6","Main",-3.58776098075573,2.34500632435479,Inf,-1.52995791247722,0.791374122481902
"genotype4 - genotype7","Main",2.68042340132071,2.22619325082666,Inf,1.20403895768051,0.93103058893897
"genotype4 - genotype8","Main",-2.88448259351073,2.1482940081616,Inf,-1.34268521094053,0.882514967496741
"genotype4 - genotype9","Main",-4.92609064617575,2.46624077892925,Inf,-1.99740864244183,0.483538057050526
"genotype6 - genotype7","Main",6.26818438207644,2.39826695257508,Inf,2.61363080342084,0.150829577244281
"genotype6 - genotype8","Main",0.703278387244999,2.34912708626618,Inf,0.299378603804201,0.999989606380087
"genotype6 - genotype9","Main",-1.33832966542001,2.59307606070914,Inf,-0.516116625230815,0.999585867018372
"genotype7 - genotype8","Main",-5.56490599483144,2.22864971689895,Inf,-2.49698548526267,0.196510582880575
"genotype7 - genotype9","Main",-7.60651404749645,2.51892558520025,Inf,-3.01974543916181,0.0516540001180377
"genotype8 - genotype9","Main",-2.04160805266501,2.46988678563029,Inf,-0.826599852488386,0.9916619459916
"genotype1 - genotype2","NN1",-1.58013843374533,2.1129451798969,Inf,-0.747836928652562,0.99548853918339
"genotype1 - genotype3","NN1",-1.53024307067635,1.88700837494302,Inf,-0.810936024977929,0.992575458394881
"genotype1 - genotype4","NN1",-1.23040906723866,1.93164293251445,Inf,-0.636975419487605,0.998364669810052
"genotype1 - genotype6","NN1",0.728372101111879,2.13509911374698,Inf,0.341142055852211,0.999974569515306
"genotype1 - genotype7","NN1",-4.34872278359639,2.01423243867261,Inf,-2.1589974920979,0.376940004651348
"genotype1 - genotype8","NN1",-0.992394866837729,1.93409876803142,Inf,-0.51310454421509,0.999601608063581
"genotype1 - genotype9","NN1",2.61929220610094,2.26905365478936,Inf,1.15435445987464,0.944499830829267
"genotype2 - genotype3","NN1",0.0498953630689831,2.27713159382186,Inf,0.0219114974313981,1
"genotype2 - genotype4","NN1",0.349729366506675,2.3140079102626,Inf,0.151135769655596,0.999999908827625
"genotype2 - genotype6","NN1",2.30851053485721,2.48772638609076,Inf,0.927959982964539,0.983433537723548
"genotype2 - genotype7","NN1",-2.76858434985106,2.38386619849589,Inf,-1.16138412113814,0.942714318660853
"genotype2 - genotype8","NN1",0.587743566907605,2.31599164997089,Inf,0.253776202912905,0.999996670910688
"genotype2 - genotype9","NN1",4.19943063984627,2.60346420839582,Inf,1.61301646717619,0.74262823186396
"genotype3 - genotype4","NN1",0.299834003437692,2.10921191421897,Inf,0.142154518195351,0.999999940509163
"genotype3 - genotype6","NN1",2.25861517178823,2.30049504879177,Inf,0.981795276183909,0.977088400435381
"genotype3 - genotype7","NN1",-2.81847971292004,2.18635440161828,Inf,-1.28912298520033,0.903206105611536
"genotype3 - genotype8","NN1",0.537848203838622,2.11128665743272,Inf,0.254749018540493,0.999996581773588
"genotype3 - genotype9","NN1",4.14953527677729,2.42498090204674,Inf,1.71116204390516,0.680016141775972
"genotype4 - genotype6","NN1",1.95878116835054,2.34500632435479,Inf,0.835298885127519,0.991117818853984
"genotype4 - genotype7","NN1",-3.11831371635773,2.22619325082666,Inf,-1.40073810537329,0.857315934302106
"genotype4 - genotype8","NN1",0.23801420040093,2.1482940081616,Inf,0.110792191151066,0.999999989548025
"genotype4 - genotype9","NN1",3.8497012733396,2.46624077892925,Inf,1.56095921624124,0.773704093241605
"genotype6 - genotype7","NN1",-5.07709488470827,2.39826695257508,Inf,-2.11698488329536,0.403738920566251
"genotype6 - genotype8","NN1",-1.72076696794961,2.34912708626618,Inf,-0.732513356986863,0.996034452576592
"genotype6 - genotype9","NN1",1.89092010498906,2.59307606070914,Inf,0.72921891248803,0.996144583167304
"genotype7 - genotype8","NN1",3.35632791675866,2.22864971689895,Inf,1.50599167348237,0.804571449885718
"genotype7 - genotype9","NN1",6.96801498969733,2.51892558520025,Inf,2.76626472438779,0.10357609094167
"genotype8 - genotype9","NN1",3.61168707293867,2.46988678563029,Inf,1.46228851215016,0.827535325607151
"genotype1 - genotype2","NN2",1.74497151761839,2.1129451798969,Inf,0.825847984235698,0.991707717564068
"genotype1 - genotype3","NN2",-0.891004700312376,1.88700837494302,Inf,-0.472178455667576,0.999770819248096
"genotype1 - genotype4","NN2",1.39441589703576,1.93164293251445,Inf,0.721880774942512,0.996381072648927
"genotype1 - genotype6","NN2",3.02339570891219,2.13509911374698,Inf,1.41604466483352,0.850199181619476
"genotype1 - genotype7","NN2",1.83230621232122,2.0142324386726,Inf,0.909679626413285,0.985249903153864
"genotype1 - genotype8","NN2",4.04088429230952,1.93409876803142,Inf,2.08928538661055,0.421804943037925
"genotype1 - genotype9","NN2",2.4708052680968,2.26905365478936,Inf,1.08891443041975,0.959304155585014
"genotype2 - genotype3","NN2",-2.63597621793077,2.27713159382186,Inf,-1.15758624801592,0.943683806947088
"genotype2 - genotype4","NN2",-0.350555620582633,2.3140079102626,Inf,-0.151492835883543,0.999999907316391
"genotype2 - genotype6","NN2",1.2784241912938,2.48772638609076,Inf,0.513892604283837,0.999597538601993
"genotype2 - genotype7","NN2",0.0873346947028244,2.38386619849589,Inf,0.0366357368370459,0.999999999995461
"genotype2 - genotype8","NN2",2.29591277469113,2.31599164997089,Inf,0.991330333475073,0.975797593064437
"genotype2 - genotype9","NN2",0.725833750478407,2.60346420839582,Inf,0.278795363553565,0.999993632510583
"genotype3 - genotype4","NN2",2.28542059734813,2.10921191421897,Inf,1.08354242735937,0.960378889753968
"genotype3 - genotype6","NN2",3.91440040922456,2.30049504879177,Inf,1.70154698280286,0.686344932814479
"genotype3 - genotype7","NN2",2.72331091263359,2.18635440161828,Inf,1.24559445194149,0.918206642937428
"genotype3 - genotype8","NN2",4.9318889926219,2.11128665743272,Inf,2.33596370026748,0.27389514037273
"genotype3 - genotype9","NN2",3.36180996840918,2.42498090204674,Inf,1.38632430695505,0.863838832782686
"genotype4 - genotype6","NN2",1.62897981187643,2.34500632435479,Inf,0.694659027124215,0.997158598622034
"genotype4 - genotype7","NN2",0.437890315285458,2.22619325082666,Inf,0.196699147804376,0.999999429965499
"genotype4 - genotype8","NN2",2.64646839527376,2.1482940081616,Inf,1.23189302079675,0.922594846399026
"genotype4 - genotype9","NN2",1.07638937106104,2.46624077892925,Inf,0.436449425480819,0.999864757447577
"genotype6 - genotype7","NN2",-1.19108949659097,2.39826695257508,Inf,-0.49664591980141,0.999679098113154
"genotype6 - genotype8","NN2",1.01748858339733,2.34912708626618,Inf,0.433134754328927,0.999871519110938
"genotype6 - genotype9","NN2",-0.552590440815391,2.59307606070914,Inf,-0.213102287737859,0.999999006248519
"genotype7 - genotype8","NN2",2.2085780799883,2.22864971689895,Inf,0.990993812639802,0.975844051897026
"genotype7 - genotype9","NN2",0.638499055775581,2.51892558520025,Inf,0.253480713970684,0.999996697590704
"genotype8 - genotype9","NN2",-1.57007902421272,2.46988678563029,Inf,-0.635688661256613,0.998385779713384
